#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,last,,,,,,,,,,
,result,table,_start,_stop,_time,_value,ID,_field,_measurement,host,topic
,,0,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:33:44.81Z,1,134,vote,votes,11dfbebbbbc4,votes
,,0,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:33:56.24Z,1,134,vote,votes,11dfbebbbbc4,votes
,,0,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:33:56.62Z,1,134,vote,votes,11dfbebbbbc4,votes
,,0,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:33:56.9Z,1,134,vote,votes,11dfbebbbbc4,votes
,,0,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:33:57.2Z,1,134,vote,votes,11dfbebbbbc4,votes
,,0,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:34:00.47Z,1,134,vote,votes,11dfbebbbbc4,votes
,,0,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:34:02.5Z,1,134,vote,votes,11dfbebbbbc4,votes
,,0,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:34:04.13Z,0,134,vote,votes,11dfbebbbbc4,votes
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:48:52.83Z,0,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:48:53.85Z,1,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:48:54.83Z,2,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:48:55.83Z,3,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:48:56.83Z,4,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:48:57.84Z,5,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:48:58.86Z,6,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:48:59.83Z,7,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:00.84Z,8,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:01.85Z,9,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:02.86Z,10,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:03.84Z,11,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:04.84Z,12,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:05.84Z,13,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:06.86Z,14,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:07.84Z,15,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:08.84Z,16,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:09.84Z,17,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:10.84Z,18,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:11.87Z,19,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:12.84Z,20,144,vote,votes,11dfbebbbbc4,mqtt_spammer
,,1,2021-11-04T19:58:00.4608069Z,2021-11-04T22:58:00.4608069Z,2021-11-04T20:49:13.84Z,21,144,vote,votes,11dfbebbbbc4,mqtt_spammer
